School,Year,Month,Amount
"Philbrick, John D. Elementary School",2014,11,440.81
"Philbrick, John D. Elementary School",2012,3,5708.58
"Philbrick, John D. Elementary School",2013,4,4054.46
"Philbrick, John D. Elementary School",2012,1,1100.44
"Philbrick, John D. Elementary School",2017,7,11.94
"Philbrick, John D. Elementary School",2015,6,136.4
"Philbrick, John D. Elementary School",2016,2,170.37
"Philbrick, John D. Elementary School",2012,5,17255.47
"Philbrick, John D. Elementary School",2016,10,360.8
"Philbrick, John D. Elementary School",2015,7,309.2
"Philbrick, John D. Elementary School",2016,4,747.57
"Philbrick, John D. Elementary School",2012,11,7425.9
"Philbrick, John D. Elementary School",2013,9,1167.26
"Philbrick, John D. Elementary School",2013,2,318.22
"Philbrick, John D. Elementary School",2012,2,17370.69
"Philbrick, John D. Elementary School",2015,2,326.06
"Philbrick, John D. Elementary School",2012,8,129
"Philbrick, John D. Elementary School",2012,4,14206.06
"Philbrick, John D. Elementary School",2013,5,7250.56
"Philbrick, John D. Elementary School",2013,1,2500
"Philbrick, John D. Elementary School",2016,6,154.86
"Philbrick, John D. Elementary School",2012,12,2893.62
"Philbrick, John D. Elementary School",2014,5,5877.14
"Philbrick, John D. Elementary School",2012,6,15539.27
"Philbrick, John D. Elementary School",2013,8,1181.9
"Philbrick, John D. Elementary School",2014,7,4788.6
"Philbrick, John D. Elementary School",2016,5,91.55
"Philbrick, John D. Elementary School",2016,12,540.44
"Philbrick, John D. Elementary School",2012,10,3347.42
"Philbrick, John D. Elementary School",2014,6,82.82
"Philbrick, John D. Elementary School",2017,8,287.76
"Philbrick, John D. Elementary School",2015,10,700.8
"Philbrick, John D. Elementary School",2016,9,2747.83
"Philbrick, John D. Elementary School",2013,11,2355.37
"Philbrick, John D. Elementary School",2014,12,754.68
"Philbrick, John D. Elementary School",2014,3,3173.1
"Philbrick, John D. Elementary School",2015,8,137.1
"Philbrick, John D. Elementary School",2012,7,334.84
"Philbrick, John D. Elementary School",2013,6,6817.13
"Philbrick, John D. Elementary School",2014,9,1309.87
"Philbrick, John D. Elementary School",2013,10,5554.5
"Philbrick, John D. Elementary School",2014,1,3890.29
Community Academy,2012,9,3808.63
Community Academy,2014,4,612
Community Academy,2013,7,2278.83
Community Academy,2016,11,5908.1
Community Academy,2013,3,652.86
Community Academy,2014,2,2850.52
Community Academy,2016,1,630.45
Community Academy,2014,11,6309.51
Community Academy,2012,3,272.96
Community Academy,2016,7,440.4
Community Academy,2013,4,3173.6
Community Academy,2012,1,3893.25
Community Academy,2017,7,147.82
Community Academy,2015,6,1936.21
Community Academy,2016,2,428.8
Community Academy,2016,3,1124.58
Community Academy,2012,5,1055.48
Community Academy,2016,10,5763.61
Community Academy,2015,7,4809.5
Community Academy,2016,4,1350.38
Community Academy,2012,11,761.57
Community Academy,2013,9,3175.44
Community Academy,2015,12,973.15
Community Academy,2013,2,2000.13
Community Academy,2012,2,9835.77
Community Academy,2015,2,900
Community Academy,2012,8,1784.83
Community Academy,2015,11,6632.48
Community Academy,2012,4,921.15
Community Academy,2013,5,5480.1
Community Academy,2014,8,211.45
Community Academy,2013,1,4883.27
Community Academy,2016,6,540
Community Academy,2012,12,1702.98
Community Academy,2014,5,1461.93
Community Academy,2015,5,14510.5
Community Academy,2015,4,1920.11
Community Academy,2015,3,498.61
Community Academy,2013,8,2754.13
Community Academy,2014,7,3392.54
Community Academy,2016,5,1054.72
Community Academy,2016,12,692.46
Community Academy,2012,10,4097.5
Community Academy,2017,8,198
Community Academy,2015,10,2643.91
Community Academy,2016,9,1287.4
Community Academy,2013,11,8132.48
Community Academy,2013,12,495
Community Academy,2015,9,246.5
Community Academy,2014,12,1018.37
Community Academy,2014,3,2604.9
Community Academy,2015,1,860.83
Community Academy,2012,7,5533.66
Community Academy,2013,6,2866.67
Community Academy,2014,9,1907.8
Community Academy,2013,10,1010.85
Community Academy,2014,1,2099.91
Mildred Avenue K-8,2013,7,4395.65
Mildred Avenue K-8,2016,11,498.6
Mildred Avenue K-8,2013,3,3135.54
Mildred Avenue K-8,2014,2,1292.87
Mildred Avenue K-8,2014,10,5718.16
Mildred Avenue K-8,2016,1,1426.31
Mildred Avenue K-8,2014,11,262.5
Mildred Avenue K-8,2012,3,7455.05
Mildred Avenue K-8,2016,7,30004.38
Mildred Avenue K-8,2013,4,3241.49
Mildred Avenue K-8,2012,1,5416.4
Mildred Avenue K-8,2015,6,2719.97
Mildred Avenue K-8,2016,2,976.34
Mildred Avenue K-8,2016,3,7999
Mildred Avenue K-8,2012,5,4580
Mildred Avenue K-8,2016,10,500
Mildred Avenue K-8,2015,7,865.26
Mildred Avenue K-8,2016,4,27037.49
Mildred Avenue K-8,2012,11,10625.8
Mildred Avenue K-8,2015,12,540
Mildred Avenue K-8,2013,2,3368.49
Mildred Avenue K-8,2012,2,7076.78
Mildred Avenue K-8,2015,2,153.11
Mildred Avenue K-8,2012,8,664.5
Mildred Avenue K-8,2013,5,6255.57
Mildred Avenue K-8,2014,8,988.57
Mildred Avenue K-8,2016,6,4090.24
Mildred Avenue K-8,2012,12,13366.49
Mildred Avenue K-8,2014,5,83
Mildred Avenue K-8,2015,5,6540.58
Mildred Avenue K-8,2015,4,8834.8
Mildred Avenue K-8,2015,3,4384.6
Mildred Avenue K-8,2012,6,13700.28
Mildred Avenue K-8,2013,8,4465.1
Mildred Avenue K-8,2014,7,8757.92
Mildred Avenue K-8,2016,5,9794.44
Mildred Avenue K-8,2016,12,1128.5
Mildred Avenue K-8,2012,10,222
Mildred Avenue K-8,2014,6,4966.02
Mildred Avenue K-8,2017,8,3075.98
Mildred Avenue K-8,2015,10,8290.49
Mildred Avenue K-8,2013,11,2058.75
Mildred Avenue K-8,2013,12,695.25
Mildred Avenue K-8,2015,9,1572.2
Mildred Avenue K-8,2014,12,7399.2
Mildred Avenue K-8,2014,3,2282.26
Mildred Avenue K-8,2015,1,1720
Mildred Avenue K-8,2015,8,9390.54
Mildred Avenue K-8,2012,7,1481.8
Mildred Avenue K-8,2013,6,2490.71
Mildred Avenue K-8,2014,9,1454
Mildred Avenue K-8,2013,10,6331
Mildred Avenue K-8,2014,1,11155.33
"Kenny, Thomas J. Elementary School",2012,9,6015.63
"Kenny, Thomas J. Elementary School",2014,4,7680.31
"Kenny, Thomas J. Elementary School",2016,11,5302.76
"Kenny, Thomas J. Elementary School",2013,3,702.6
"Kenny, Thomas J. Elementary School",2014,2,15014.61
"Kenny, Thomas J. Elementary School",2014,10,4379.19
"Kenny, Thomas J. Elementary School",2016,1,405.86
"Kenny, Thomas J. Elementary School",2012,3,6800.14
"Kenny, Thomas J. Elementary School",2016,7,5740
"Kenny, Thomas J. Elementary School",2013,4,5605.29
"Kenny, Thomas J. Elementary School",2012,1,3773.85
"Kenny, Thomas J. Elementary School",2017,7,6411.55
"Kenny, Thomas J. Elementary School",2015,6,22479.41
"Kenny, Thomas J. Elementary School",2016,2,2575
"Kenny, Thomas J. Elementary School",2016,3,1791.36
"Kenny, Thomas J. Elementary School",2012,5,58.84
"Kenny, Thomas J. Elementary School",2016,10,220
"Kenny, Thomas J. Elementary School",2015,7,18752.29
"Kenny, Thomas J. Elementary School",2016,4,5902.31
"Kenny, Thomas J. Elementary School",2012,11,3399.97
"Kenny, Thomas J. Elementary School",2013,9,9161.74
"Kenny, Thomas J. Elementary School",2015,12,999.07
"Kenny, Thomas J. Elementary School",2013,2,15814.47
"Kenny, Thomas J. Elementary School",2012,2,1387.28
"Kenny, Thomas J. Elementary School",2015,2,120
"Kenny, Thomas J. Elementary School",2015,11,4008
"Kenny, Thomas J. Elementary School",2012,4,786.69
"Kenny, Thomas J. Elementary School",2013,5,6430.61
"Kenny, Thomas J. Elementary School",2014,8,749.6
"Kenny, Thomas J. Elementary School",2013,1,837.35
"Kenny, Thomas J. Elementary School",2016,6,9740.78
"Kenny, Thomas J. Elementary School",2012,12,1360.42
"Kenny, Thomas J. Elementary School",2014,5,6083.34
"Kenny, Thomas J. Elementary School",2015,5,13178.72
"Kenny, Thomas J. Elementary School",2015,4,7299.7
"Kenny, Thomas J. Elementary School",2015,3,27500
"Kenny, Thomas J. Elementary School",2013,8,1467.62
"Kenny, Thomas J. Elementary School",2014,7,3807.08
"Kenny, Thomas J. Elementary School",2016,5,2868.58
"Kenny, Thomas J. Elementary School",2016,12,2020.05
"Kenny, Thomas J. Elementary School",2012,10,1003.38
"Kenny, Thomas J. Elementary School",2014,6,938.99
"Kenny, Thomas J. Elementary School",2017,8,3107.13
"Kenny, Thomas J. Elementary School",2015,10,1288.41
"Kenny, Thomas J. Elementary School",2016,9,1545
"Kenny, Thomas J. Elementary School",2013,11,93.57
"Kenny, Thomas J. Elementary School",2013,12,257.94
"Kenny, Thomas J. Elementary School",2015,9,14733.02
"Kenny, Thomas J. Elementary School",2014,12,8454.66
"Kenny, Thomas J. Elementary School",2014,3,13366.21
"Kenny, Thomas J. Elementary School",2015,1,7520.58
"Kenny, Thomas J. Elementary School",2015,8,1618.76
"Kenny, Thomas J. Elementary School",2012,7,229.03
"Kenny, Thomas J. Elementary School",2013,6,2531.63
"Kenny, Thomas J. Elementary School",2014,9,3591.55
"Kenny, Thomas J. Elementary School",2013,10,1446.05
"Kenny, Thomas J. Elementary School",2014,1,5800
West Roxbury Academy,2014,4,4791.95
West Roxbury Academy,2013,7,8728.41
West Roxbury Academy,2016,11,3123.84
West Roxbury Academy,2013,3,440.17
West Roxbury Academy,2014,2,3164
West Roxbury Academy,2014,10,5446.75
West Roxbury Academy,2016,1,4872.99
West Roxbury Academy,2014,11,1179
West Roxbury Academy,2012,3,9128.49
West Roxbury Academy,2016,7,395.79
West Roxbury Academy,2013,4,3949.56
West Roxbury Academy,2012,1,38264.84
West Roxbury Academy,2015,6,7729.28
West Roxbury Academy,2016,2,3251.95
West Roxbury Academy,2016,3,2983.86
West Roxbury Academy,2012,5,13617.07
West Roxbury Academy,2016,10,28954.82
West Roxbury Academy,2015,7,15765
West Roxbury Academy,2016,4,30375.25
West Roxbury Academy,2012,11,28119.31
West Roxbury Academy,2013,9,6722.52
West Roxbury Academy,2015,12,2471.15
West Roxbury Academy,2013,2,8630.75
West Roxbury Academy,2012,2,15107.76
West Roxbury Academy,2015,2,5150
West Roxbury Academy,2015,11,17976.25
West Roxbury Academy,2012,4,2453.76
West Roxbury Academy,2013,5,17454.8
West Roxbury Academy,2014,8,1798.51
West Roxbury Academy,2013,1,2506.87
West Roxbury Academy,2016,6,8305.31
West Roxbury Academy,2012,12,21891.54
West Roxbury Academy,2014,5,5962.04
West Roxbury Academy,2015,5,6547.98
West Roxbury Academy,2015,4,451
West Roxbury Academy,2012,6,868
West Roxbury Academy,2013,8,9739.45
West Roxbury Academy,2014,7,4184.28
West Roxbury Academy,2016,5,18568.5
West Roxbury Academy,2016,12,2532.84
West Roxbury Academy,2012,10,2960.1
West Roxbury Academy,2014,6,3072.25
West Roxbury Academy,2017,8,5143.51
West Roxbury Academy,2015,10,12569.17
West Roxbury Academy,2016,9,5423.81
West Roxbury Academy,2013,11,9532.72
West Roxbury Academy,2013,12,11238.08
West Roxbury Academy,2015,9,6513.67
West Roxbury Academy,2014,12,2650.15
West Roxbury Academy,2014,3,8706.15
West Roxbury Academy,2015,1,4564.85
West Roxbury Academy,2015,8,4085
West Roxbury Academy,2013,6,45
West Roxbury Academy,2014,9,11494
West Roxbury Academy,2013,10,11652.9
West Roxbury Academy,2014,1,13180.57
"Perkins, Michael J. Elementary School",2012,9,1829.21
"Perkins, Michael J. Elementary School",2014,4,732.96
"Perkins, Michael J. Elementary School",2013,7,1955.73
"Perkins, Michael J. Elementary School",2013,3,304.15
"Perkins, Michael J. Elementary School",2014,2,2956.02
"Perkins, Michael J. Elementary School",2014,10,7831.84
"Perkins, Michael J. Elementary School",2016,8,812.25
"Perkins, Michael J. Elementary School",2016,1,818.84
"Perkins, Michael J. Elementary School",2012,3,4850.68
"Perkins, Michael J. Elementary School",2016,7,570.32
"Perkins, Michael J. Elementary School",2013,4,1259
"Perkins, Michael J. Elementary School",2012,1,3180.58
"Perkins, Michael J. Elementary School",2017,7,7426.16
"Perkins, Michael J. Elementary School",2015,6,1991.9
"Perkins, Michael J. Elementary School",2016,3,492.5
"Perkins, Michael J. Elementary School",2012,5,2828.97
"Perkins, Michael J. Elementary School",2016,10,2281.14
"Perkins, Michael J. Elementary School",2015,7,1459.94
"Perkins, Michael J. Elementary School",2016,4,6038.84
"Perkins, Michael J. Elementary School",2012,11,6362.1
"Perkins, Michael J. Elementary School",2015,12,208
"Perkins, Michael J. Elementary School",2012,2,6015.11
"Perkins, Michael J. Elementary School",2015,2,127.24
"Perkins, Michael J. Elementary School",2012,8,438.86
"Perkins, Michael J. Elementary School",2015,11,465.08
"Perkins, Michael J. Elementary School",2012,4,3225
"Perkins, Michael J. Elementary School",2013,5,1512
"Perkins, Michael J. Elementary School",2014,8,5648.88
"Perkins, Michael J. Elementary School",2013,1,4193.18
"Perkins, Michael J. Elementary School",2016,6,4820.78
"Perkins, Michael J. Elementary School",2012,12,1081.48
"Perkins, Michael J. Elementary School",2014,5,15232.56
"Perkins, Michael J. Elementary School",2015,5,19732.68
"Perkins, Michael J. Elementary School",2015,4,261.03
"Perkins, Michael J. Elementary School",2015,3,527.86
"Perkins, Michael J. Elementary School",2012,6,3356.22
"Perkins, Michael J. Elementary School",2013,8,438.63
"Perkins, Michael J. Elementary School",2014,7,1480.18
"Perkins, Michael J. Elementary School",2016,5,1017.71
"Perkins, Michael J. Elementary School",2016,12,5487.6
"Perkins, Michael J. Elementary School",2012,10,2004.06
"Perkins, Michael J. Elementary School",2014,6,11364.13
"Perkins, Michael J. Elementary School",2017,8,27800.19
"Perkins, Michael J. Elementary School",2015,10,861.67
"Perkins, Michael J. Elementary School",2016,9,716.95
"Perkins, Michael J. Elementary School",2015,9,1621.52
"Perkins, Michael J. Elementary School",2014,3,7002.06
"Perkins, Michael J. Elementary School",2015,8,5376.57
"Perkins, Michael J. Elementary School",2012,7,3645.59
"Perkins, Michael J. Elementary School",2013,6,1680.39
"Perkins, Michael J. Elementary School",2014,9,5218.05
"Perkins, Michael J. Elementary School",2014,1,7092.44
Fenway High School,2012,9,4108.01
Fenway High School,2013,7,2168.67
Fenway High School,2016,11,162.04
Fenway High School,2014,2,810
Fenway High School,2016,8,20601.55
Fenway High School,2016,1,2163.84
Fenway High School,2014,11,1253.61
Fenway High School,2012,3,1503.87
Fenway High School,2016,7,15736.8
Fenway High School,2013,4,2077.6
Fenway High School,2017,7,9655.82
Fenway High School,2015,6,1175
Fenway High School,2016,2,2039.86
Fenway High School,2016,3,340.53
Fenway High School,2012,5,1398
Fenway High School,2016,10,16335.02
Fenway High School,2015,7,5870
Fenway High School,2016,4,329
Fenway High School,2013,9,10982.36
Fenway High School,2015,12,1366.4
Fenway High School,2012,2,1875
Fenway High School,2012,8,3474
Fenway High School,2013,5,10440
Fenway High School,2014,8,270
Fenway High School,2013,1,1548.4
Fenway High School,2016,6,4145.82
Fenway High School,2012,12,3875.75
Fenway High School,2014,5,250
Fenway High School,2015,5,5144.5
Fenway High School,2015,4,1430.24
Fenway High School,2015,3,151.72
Fenway High School,2012,6,1000
Fenway High School,2014,7,540
Fenway High School,2016,5,23084.18
Fenway High School,2016,12,3978.33
Fenway High School,2017,8,2403.07
Fenway High School,2016,9,23115.18
Fenway High School,2014,3,3043.75
Fenway High School,2012,7,15489.95
Fenway High School,2013,6,3625
"O'Bryant, John D. School of Mathematics & Science",2012,9,18514.34
"O'Bryant, John D. School of Mathematics & Science",2014,4,6307.19
"O'Bryant, John D. School of Mathematics & Science",2013,7,2478.99
"O'Bryant, John D. School of Mathematics & Science",2016,11,95052.14
"O'Bryant, John D. School of Mathematics & Science",2013,3,18863.34
"O'Bryant, John D. School of Mathematics & Science",2014,2,9301.05
"O'Bryant, John D. School of Mathematics & Science",2014,10,17091.65
"O'Bryant, John D. School of Mathematics & Science",2016,1,6790.47
"O'Bryant, John D. School of Mathematics & Science",2014,11,4080.82
"O'Bryant, John D. School of Mathematics & Science",2012,3,12338.09
"O'Bryant, John D. School of Mathematics & Science",2016,7,6027.37
"O'Bryant, John D. School of Mathematics & Science",2013,4,21670.86
"O'Bryant, John D. School of Mathematics & Science",2012,1,6939.7
"O'Bryant, John D. School of Mathematics & Science",2017,7,1443.92
"O'Bryant, John D. School of Mathematics & Science",2015,6,16599.72
"O'Bryant, John D. School of Mathematics & Science",2016,2,25824.33
"O'Bryant, John D. School of Mathematics & Science",2016,3,2584.85
"O'Bryant, John D. School of Mathematics & Science",2012,5,5617.18
"O'Bryant, John D. School of Mathematics & Science",2016,10,59082.05
"O'Bryant, John D. School of Mathematics & Science",2015,7,164.74
"O'Bryant, John D. School of Mathematics & Science",2016,4,29246.74
"O'Bryant, John D. School of Mathematics & Science",2012,11,7832
"O'Bryant, John D. School of Mathematics & Science",2013,9,1181.87
"O'Bryant, John D. School of Mathematics & Science",2015,12,26159.22
"O'Bryant, John D. School of Mathematics & Science",2013,2,14020.54
"O'Bryant, John D. School of Mathematics & Science",2012,2,27433.25
"O'Bryant, John D. School of Mathematics & Science",2015,2,821.26
"O'Bryant, John D. School of Mathematics & Science",2012,8,3356.77
"O'Bryant, John D. School of Mathematics & Science",2013,5,9056.86
"O'Bryant, John D. School of Mathematics & Science",2014,8,26607.17
"O'Bryant, John D. School of Mathematics & Science",2013,1,37618.45
"O'Bryant, John D. School of Mathematics & Science",2016,6,1557.24
"O'Bryant, John D. School of Mathematics & Science",2012,12,6537.03
"O'Bryant, John D. School of Mathematics & Science",2014,5,9001.05
"O'Bryant, John D. School of Mathematics & Science",2015,5,12393.5
"O'Bryant, John D. School of Mathematics & Science",2015,4,20350.05
"O'Bryant, John D. School of Mathematics & Science",2015,3,14928.75
"O'Bryant, John D. School of Mathematics & Science",2012,6,10008.9
"O'Bryant, John D. School of Mathematics & Science",2013,8,7671.51
"O'Bryant, John D. School of Mathematics & Science",2014,7,17244
"O'Bryant, John D. School of Mathematics & Science",2016,5,7760.64
"O'Bryant, John D. School of Mathematics & Science",2016,12,7790.9
"O'Bryant, John D. School of Mathematics & Science",2012,10,3580.75
"O'Bryant, John D. School of Mathematics & Science",2014,6,10653.71
"O'Bryant, John D. School of Mathematics & Science",2017,8,2140
"O'Bryant, John D. School of Mathematics & Science",2015,10,4930.06
"O'Bryant, John D. School of Mathematics & Science",2016,9,3190.57
"O'Bryant, John D. School of Mathematics & Science",2013,11,4500
"O'Bryant, John D. School of Mathematics & Science",2013,12,24013.65
"O'Bryant, John D. School of Mathematics & Science",2015,9,31517.81
"O'Bryant, John D. School of Mathematics & Science",2014,12,4950.68
"O'Bryant, John D. School of Mathematics & Science",2014,3,5401.66
"O'Bryant, John D. School of Mathematics & Science",2015,1,9694.46
"O'Bryant, John D. School of Mathematics & Science",2015,8,347.99
"O'Bryant, John D. School of Mathematics & Science",2012,7,2692.44
"O'Bryant, John D. School of Mathematics & Science",2013,6,41944
"O'Bryant, John D. School of Mathematics & Science",2014,9,25488.52
"O'Bryant, John D. School of Mathematics & Science",2013,10,3784.64
"O'Bryant, John D. School of Mathematics & Science",2014,1,10898.72
"Quincy, Josiah Upper School",2012,9,4715.38
"Quincy, Josiah Upper School",2014,4,18000
"Quincy, Josiah Upper School",2013,7,200590.14
"Quincy, Josiah Upper School",2013,3,6521.32
"Quincy, Josiah Upper School",2014,2,55870.79
"Quincy, Josiah Upper School",2014,10,9212
"Quincy, Josiah Upper School",2016,1,41612
"Quincy, Josiah Upper School",2014,11,11036.72
"Quincy, Josiah Upper School",2016,7,17634.8
"Quincy, Josiah Upper School",2013,4,45932.22
"Quincy, Josiah Upper School",2012,1,3146.03
"Quincy, Josiah Upper School",2017,7,74020.64
"Quincy, Josiah Upper School",2016,3,29641
"Quincy, Josiah Upper School",2012,5,5378.16
"Quincy, Josiah Upper School",2015,7,19987.46
"Quincy, Josiah Upper School",2016,4,48932
"Quincy, Josiah Upper School",2012,11,2325
"Quincy, Josiah Upper School",2013,9,1167.75
"Quincy, Josiah Upper School",2015,12,2517.22
"Quincy, Josiah Upper School",2013,2,1729.56
"Quincy, Josiah Upper School",2012,2,24371.56
"Quincy, Josiah Upper School",2012,8,6713.6
"Quincy, Josiah Upper School",2012,4,26403.1
"Quincy, Josiah Upper School",2013,5,5886.79
"Quincy, Josiah Upper School",2014,8,1846.25
"Quincy, Josiah Upper School",2013,1,12716
"Quincy, Josiah Upper School",2012,12,50138.5
"Quincy, Josiah Upper School",2014,5,10274.47
"Quincy, Josiah Upper School",2015,5,36200.6
"Quincy, Josiah Upper School",2015,4,4761.8
"Quincy, Josiah Upper School",2015,3,10844.2
"Quincy, Josiah Upper School",2012,6,26351.41
"Quincy, Josiah Upper School",2014,7,234868.68
"Quincy, Josiah Upper School",2016,5,32699
"Quincy, Josiah Upper School",2016,12,800
"Quincy, Josiah Upper School",2012,10,2413.54
"Quincy, Josiah Upper School",2014,6,85016.82
"Quincy, Josiah Upper School",2017,8,67136
"Quincy, Josiah Upper School",2015,10,3933.19
