School,AccountDesc,Total
"O'Donnell, Hugh R. Elementary School",Cont Serv Other,151975.16
"O'Donnell, Hugh R. Elementary School",EducSup Instructional Other,134251.6
"Timilty, James P. Middle School",TransTrvl Field Trip,41391
"Timilty, James P. Middle School",TransTrvl Emp Out Of Town,1059.1
"Timilty, James P. Middle School",ContServ Dependent Contrctr,23460
"Timilty, James P. Middle School",EducSup Instructional Textbook,10183.45
"Timilty, James P. Middle School",Food  Catering,16045.27
"Timilty, James P. Middle School",Equipment Computer/Desktop,63346
"Timilty, James P. Middle School",Cont Serv Other,148596.38
"Timilty, James P. Middle School",EducSup Instructional Other,288538.86
Madison Park Technical Vocational High School,MiscSup Other,3176.27
Madison Park Technical Vocational High School,TransTrvl Field Trip,1500
Madison Park Technical Vocational High School,Equipment Computer Other,378528.41
Madison Park Technical Vocational High School,Equipment Photocopy,12853.23
Madison Park Technical Vocational High School,Telecom Data Lines,2066.75
Madison Park Technical Vocational High School,TransTrvl Emp Out Of Town,4200.7
Madison Park Technical Vocational High School,Office Postage,40861.01
Madison Park Technical Vocational High School,ContServ  Printing/Binding,4460.85
Madison Park Technical Vocational High School,RepairMnt Bldg Other,93215.22
Madison Park Technical Vocational High School,EducSup Instructional Textbook,348594.08
Madison Park Technical Vocational High School,Food  Catering,122254.58
Madison Park Technical Vocational High School,Cont Serv Other,430217.23
Madison Park Technical Vocational High School,EducSup Instructional Other,1286166.95
"Lyon, Mary K-8",Equipment Computer Other,74416.57
"Lyon, Mary K-8",ContServ Dependent Contrctr,10207.5
"Lyon, Mary K-8",EducSup Instructional Textbook,4886.77
"Lyon, Mary K-8",Current Insurance/Bonds,22236
"Lyon, Mary K-8",Cont Serv Other,8738
"Lyon, Mary K-8",EducSup Instructional Other,93504.09
"Alighieri, Dante Montessori School",Furniture Classroom,917.5
"Alighieri, Dante Montessori School",Cont Serv Other,17529.95
"Alighieri, Dante Montessori School",Food  Catering,838.7
"Alighieri, Dante Montessori School",EducSup Instructional Other,88605.57
"Condon, James F. Elementary School",TransTrvl Field Trip,720
"Condon, James F. Elementary School",Equipment Computer Other,16986
"Condon, James F. Elementary School",ContServ Dependent Contrctr,7793.8
"Condon, James F. Elementary School",ContServ  Printing/Binding,6852.31
"Condon, James F. Elementary School",Equipment Instructional,54222.67
"Condon, James F. Elementary School",Equipment Computer/Desktop,39030
"Condon, James F. Elementary School",Cont Serv Other,29620
"Condon, James F. Elementary School",EducSup Instructional Other,286879.29
Brighton High School,MiscSup Other,45247.8
Brighton High School,TransTrvl Field Trip,8504.9
Brighton High School,Equipment Computer Other,17484
Brighton High School,Current Space/Facility Rental,5660
Brighton High School,Telecom Data Lines,15317.28
Brighton High School,ContServ Dependent Contrctr,7316.19
Brighton High School,EducSup Instructional Textbook,54752.28
Brighton High School,Equipment Computer/Desktop,167189.71
Brighton High School,Cont Serv Other,80069.83
Brighton High School,EducSup Instructional Other,517195.02
"Burke, Jeremiah E. High School",MiscSup Other,658.38
"Burke, Jeremiah E. High School",TransTrvl Field Trip,11959.36
"Burke, Jeremiah E. High School",Equipment Computer Other,8127.94
"Burke, Jeremiah E. High School",TransTrvl Emp Out Of Town,22311.18
"Burke, Jeremiah E. High School",TransTrvl Public Transit,3998.4
"Burke, Jeremiah E. High School",Food  Catering,46648.36
"Burke, Jeremiah E. High School",Equipment Computer/Desktop,33520
"Burke, Jeremiah E. High School",Cont Serv Other,778056.09
"Burke, Jeremiah E. High School",EducSup Instructional Other,198734.29
"Edison, Thomas A. K-8",MiscSup Other,22176.09
"Edison, Thomas A. K-8",Telecom Data Lines,149
"Edison, Thomas A. K-8",ContServ Dependent Contrctr,14300
"Edison, Thomas A. K-8",Food  Catering,3043.6
"Edison, Thomas A. K-8",Equipment Computer/Desktop,17144
"Edison, Thomas A. K-8",Cont Serv Other,264482.25
"Edison, Thomas A. K-8",EducSup Instructional Other,288521.69
Orchard Gardens K-8,TransTrvl Field Trip,38287.5
Orchard Gardens K-8,Telecom Data Lines,149.99
Orchard Gardens K-8,EducSup Instructional Textbook,87094.71
Orchard Gardens K-8,Equipment Instructional,1955
Orchard Gardens K-8,Equipment Computer/Desktop,10683.91
Orchard Gardens K-8,Cont Serv Other,1628993.7
Orchard Gardens K-8,EducSup Instructional Other,380094.24
"Grew, Henry Elementary School",TransTrvl Field Trip,2707.5
"Grew, Henry Elementary School",Equipment Computer Other,8493
"Grew, Henry Elementary School",ContServ Dependent Contrctr,24990.13
"Grew, Henry Elementary School",Office Postage,440
"Grew, Henry Elementary School",EducSup Instructional Textbook,16820.62
"Grew, Henry Elementary School",Food  Catering,830
"Grew, Henry Elementary School",Equipment Computer/Desktop,55438
"Grew, Henry Elementary School",Cont Serv Other,116210.73
"Grew, Henry Elementary School",EducSup Instructional Other,94013.96
"Conley, George H. Elementary School",TransTrvl Field Trip,6182.5
"Conley, George H. Elementary School",Telecom Data Lines,99
"Conley, George H. Elementary School",Equipment Computer/Desktop,1084.99
"Conley, George H. Elementary School",Cont Serv Other,2323.46
"Conley, George H. Elementary School",EducSup Instructional Other,123870.96
"Tynan, Joseph P. Elementary School",TransTrvl Field Trip,9610
"Tynan, Joseph P. Elementary School",Equipment Computer Other,81818.87
"Tynan, Joseph P. Elementary School",Food  Catering,4981.5
"Tynan, Joseph P. Elementary School",Equipment Computer/Desktop,23195
"Tynan, Joseph P. Elementary School",Cont Serv Other,52712.52
"Tynan, Joseph P. Elementary School",EducSup Instructional Other,197000.33
Mission Hill K-8,Telecom Data Lines,1.98
Mission Hill K-8,Equipment Instructional,17254.47
Mission Hill K-8,Equipment Computer/Desktop,31484.89
Mission Hill K-8,Cont Serv Other,756025.46
Mission Hill K-8,EducSup Instructional Other,152851.01
Harvard/Kent Elementary School,MiscSup Other,350.04
Harvard/Kent Elementary School,TransTrvl Field Trip,1400
Harvard/Kent Elementary School,ContServ Dependent Contrctr,29760
Harvard/Kent Elementary School,Equipment Computer/Desktop,17107.56
Harvard/Kent Elementary School,Cont Serv Other,88090
Harvard/Kent Elementary School,EducSup Instructional Other,161484.52
Boston Community Leadership Academy,MiscSup Other,3276.69
Boston Community Leadership Academy,TransTrvl Field Trip,1050
Boston Community Leadership Academy,Equipment Computer Other,137403.82
Boston Community Leadership Academy,EducSup Instructional Textbook,31821.81
Boston Community Leadership Academy,Equipment Instructional,34579.5
Boston Community Leadership Academy,Cont Serv Other,368856.98
Boston Community Leadership Academy,EducSup Instructional Other,281622.09
"Bates, Phineas Elementary School",TransTrvl Field Trip,5964.56
"Bates, Phineas Elementary School",ContServ Dependent Contrctr,10000
"Bates, Phineas Elementary School",Food  Catering,2756.75
"Bates, Phineas Elementary School",Equipment Computer/Desktop,22745.2
"Bates, Phineas Elementary School",Cont Serv Other,169858.36
"Bates, Phineas Elementary School",EducSup Instructional Other,165215.7
"Mason, Samuel W. Elementary School",TransTrvl Field Trip,26259.66
"Mason, Samuel W. Elementary School",Equipment Computer Other,1800
"Mason, Samuel W. Elementary School",ContServ Dependent Contrctr,3700.73
"Mason, Samuel W. Elementary School",Equipment Computer/Desktop,33836.74
"Mason, Samuel W. Elementary School",Cont Serv Other,619880.8
"Mason, Samuel W. Elementary School",EducSup Instructional Other,239438.38
West Zone Early Learning Center,MiscSup Other,6654.14
West Zone Early Learning Center,TransTrvl Field Trip,11804.5
West Zone Early Learning Center,Telecom Data Lines,199
West Zone Early Learning Center,ContServ Dependent Contrctr,67090
West Zone Early Learning Center,Food  Catering,7790.41
West Zone Early Learning Center,Equipment Computer/Desktop,34661.17
West Zone Early Learning Center,Cont Serv Other,187759.5
West Zone Early Learning Center,EducSup Instructional Other,166173.83
Boston Arts Academy,TransTrvl Field Trip,17827.36
Boston Arts Academy,Current Space/Facility Rental,6445
Boston Arts Academy,Telecom Data Lines,449.95
Boston Arts Academy,EducSup Instructional Textbook,29468.44
Boston Arts Academy,Equipment Computer/Desktop,2303
Boston Arts Academy,Cont Serv Other,293000
Boston Arts Academy,EducSup Instructional Other,53656.56
"King, Martin Luther, Jr K-8",TransTrvl Field Trip,21272.75
"King, Martin Luther, Jr K-8",Telecom Data Lines,149
"King, Martin Luther, Jr K-8",TransTrvl Emp Out Of Town,10876.3
"King, Martin Luther, Jr K-8",Food  Catering,7063.46
"King, Martin Luther, Jr K-8",Equipment Computer/Desktop,77621.12
"King, Martin Luther, Jr K-8",Cont Serv Other,65990.99
"King, Martin Luther, Jr K-8",EducSup Instructional Other,264852.01
"Blackstone, William Elementary School",TransTrvl Field Trip,9453
"Blackstone, William Elementary School",Equipment Computer Other,32970
"Blackstone, William Elementary School",ContServ Dependent Contrctr,3360
"Blackstone, William Elementary School",EducSup Instructional Textbook,5362.8
"Blackstone, William Elementary School",Food  Catering,15484.02
"Blackstone, William Elementary School",Equipment Computer/Desktop,27511.89
"Blackstone, William Elementary School",Cont Serv Other,615512.18
"Blackstone, William Elementary School",EducSup Instructional Other,422575.99
Mattahunt Elementary School,MiscSup Other,152.1
Mattahunt Elementary School,TransTrvl Field Trip,2660
Mattahunt Elementary School,Equipment Computer Other,35598.33
Mattahunt Elementary School,Telecom Data Lines,1322.26
Mattahunt Elementary School,ContServ Dependent Contrctr,4500
Mattahunt Elementary School,EducSup Instructional Textbook,12834.33
Mattahunt Elementary School,Equipment Instructional,150
Mattahunt Elementary School,Food  Catering,3825.07
Mattahunt Elementary School,Equipment Computer/Desktop,32433.5
Mattahunt Elementary School,Cont Serv Other,515621.1
Mattahunt Elementary School,EducSup Instructional Other,417409.32
"Frederick, Lilla G. Middle School",TransTrvl Field Trip,82786.98
"Frederick, Lilla G. Middle School",Equipment Computer Other,640
"Frederick, Lilla G. Middle School",Telecom Data Lines,150.98
"Frederick, Lilla G. Middle School",TransTrvl Emp Out Of Town,3764
"Frederick, Lilla G. Middle School",ContServ  Printing/Binding,33017.6
"Frederick, Lilla G. Middle School",EducSup Instructional Textbook,83072.11
"Frederick, Lilla G. Middle School",Food Instutionald Purchases,7477.1
"Frederick, Lilla G. Middle School",Equipment Computer/Desktop,583310.13
"Frederick, Lilla G. Middle School",Cont Serv Other,646750.25
"Frederick, Lilla G. Middle School",EducSup Instructional Other,382867.69
"Dever, Paul A. Elementary School",MiscSup Other,59526.31
"Dever, Paul A. Elementary School",TransTrvl Field Trip,2018
"Dever, Paul A. Elementary School",Equipment Computer Other,172643.35
"Dever, Paul A. Elementary School",Furniture Classroom,7173.76
"Dever, Paul A. Elementary School",Telecom Data Lines,12783.46
"Dever, Paul A. Elementary School",Office Postage,999
"Dever, Paul A. Elementary School",EducSup Testing,5241.42
"Dever, Paul A. Elementary School",EducSup Instructional Textbook,71816.85
"Dever, Paul A. Elementary School",Equipment Instructional,32964.92
"Dever, Paul A. Elementary School",Food  Catering,604.05
"Dever, Paul A. Elementary School",Equipment Computer/Desktop,42144.52
"Dever, Paul A. Elementary School",Cont Serv Other,804545.12
"Dever, Paul A. Elementary School",EducSup Instructional Other,485589.17
"Irving, Washington Middle School",TransTrvl Field Trip,1234.24
"Irving, Washington Middle School",ContServ Dependent Contrctr,43374.28
"Irving, Washington Middle School",EducSup Instructional Textbook,1378.4
"Irving, Washington Middle School",Equipment Instructional,7896
"Irving, Washington Middle School",Equipment Computer/Desktop,20763
"Irving, Washington Middle School",DC Employment Agreement Pmt.,660
"Irving, Washington Middle School",Cont Serv Other,800737.22
"Irving, Washington Middle School",EducSup Instructional Other,250887.47
"Lyon, Mary High School",MiscSup Other,3742.39
"Lyon, Mary High School",TransTrvl Field Trip,2225
"Lyon, Mary High School",Equipment Computer Other,174983.43
"Lyon, Mary High School",Telecom Data Lines,99
"Lyon, Mary High School",Cont Serv Other,217064.7
"Lyon, Mary High School",EducSup Instructional Other,361075.02
East Boston Early Education Center,Cont Serv Other,41444
East Boston Early Education Center,Equipment Computer/Desktop,15848.06
East Boston Early Education Center,ContServ Dependent Contrctr,14891.5
East Boston Early Education Center,EducSup Instructional Other,196742.63
Boston Latin School,Current Space/Facility Rental,54400
Boston Latin School,Telecom Data Lines,99.99
Boston Latin School,ContServ Dependent Contrctr,13740.13
Boston Latin School,EducSup Instructional Textbook,38639.88
Boston Latin School,Equipment Computer/Desktop,40842.5
Boston Latin School,Cont Serv Other,118639.16
Boston Latin School,EducSup Instructional Other,703323.11
"Otis, James Elementary School",TransTrvl Field Trip,1505
"Otis, James Elementary School",Telecom Data Lines,149
"Otis, James Elementary School",ContServ Dependent Contrctr,41282.5
"Otis, James Elementary School",Equipment Instructional,8960
"Otis, James Elementary School",Food  Catering,4925
"Otis, James Elementary School",Equipment Computer/Desktop,32565
"Otis, James Elementary School",Cont Serv Other,70361.17
"Otis, James Elementary School",EducSup Instructional Other,210239.46
Charlestown High School,MiscSup Other,17272.38
Charlestown High School,TransTrvl Field Trip,6513.46
Charlestown High School,Equipment Computer Other,1006.13
Charlestown High School,Current Space/Facility Rental,7812
Charlestown High School,Telecom Data Lines,99.99
Charlestown High School,TransTrvl Emp Out Of Town,12865.88
Charlestown High School,Current Subscriptions,350
Charlestown High School,ContServ Dependent Contrctr,138104.67
Charlestown High School,EducSup Instructional Textbook,9217.47
Charlestown High School,Equipment Instructional,4900
Charlestown High School,Food  Catering,60683.72
Charlestown High School,Equipment Computer/Desktop,10025.96
Charlestown High School,Cont Serv Other,614732.76
Charlestown High School,EducSup Instructional Other,324554.36
"Muniz, Margarita Academy",TransTrvl Field Trip,28720
"Muniz, Margarita Academy",Equipment Computer Other,3192
"Muniz, Margarita Academy",Equipment NonInstructional,30302.35
"Muniz, Margarita Academy",ContServ Dependent Contrctr,19980
"Muniz, Margarita Academy",TransTrvl Public Transit,425
"Muniz, Margarita Academy",Equipment Instructional,40595.73
"Muniz, Margarita Academy",Equipment Computer/Desktop,120388.07
"Muniz, Margarita Academy",Cont Serv Other,276813.68
"Muniz, Margarita Academy",EducSup Instructional Other,259557.57
"Everett, Edwards Elementary School",MiscSup Other,3398.87
"Everett, Edwards Elementary School",Cont Serv Other,49800
"Everett, Edwards Elementary School",Equipment Computer/Desktop,28431.78
"Everett, Edwards Elementary School",EducSup Instructional Other,100986.49
"English High, The",MiscSup Other,107730.46
"English High, The",TransTrvl Field Trip,7365
"English High, The",Current Space/Facility Rental,19529
"English High, The",TransTrvl Emp Out Of Town,19891.15
"English High, The",ContServ Dependent Contrctr,5720
"English High, The",ContServ  Printing/Binding,3260.5
"English High, The",EducSup Instructional Textbook,41562.61
"English High, The",Equipment Instructional,18085
"English High, The",Food  Catering,17488.02
"English High, The",Equipment Computer/Desktop,442561.22
"English High, The",Cont Serv Other,467367.2
"English High, The",EducSup Instructional Other,261952.22
Jackson/Mann K-8,TransTrvl Field Trip,9687.5
Jackson/Mann K-8,Equipment Computer Other,34125.84
Jackson/Mann K-8,ContServ Dependent Contrctr,23432.1
Jackson/Mann K-8,Equipment Computer/Desktop,15326.44
Jackson/Mann K-8,DC Employment Agreement Pmt.,666
Jackson/Mann K-8,Cont Serv Other,83636.96
Jackson/Mann K-8,EducSup Instructional Other,219135.67
Rogers Middle School,TransTrvl Field Trip,28784.5
Rogers Middle School,Equipment Computer Other,41829
Rogers Middle School,Telecom Data Lines,199
Rogers Middle School,EducSup Instructional Textbook,51646.67
Rogers Middle School,Equipment Instructional,4155
Rogers Middle School,Equipment Computer/Desktop,410
Rogers Middle School,Cont Serv Other,23381.66
Rogers Middle School,EducSup Instructional Other,64981.5
"Hennigan, James W. K-8",TransTrvl Field Trip,2625
"Hennigan, James W. K-8",Equipment Computer Other,12887.72
"Hennigan, James W. K-8",Telecom Data Lines,211.48
"Hennigan, James W. K-8",ContServ Dependent Contrctr,4962.5
"Hennigan, James W. K-8",EducSup Instructional Textbook,3318.27
"Hennigan, James W. K-8",Equipment Computer/Desktop,31773.5
"Hennigan, James W. K-8",Cont Serv Other,74212.53
"Hennigan, James W. K-8",EducSup Instructional Other,178136.28
Boston International Newcomers Academy,MiscSup Other,99739.2
Boston International Newcomers Academy,TransTrvl Field Trip,5600
Boston International Newcomers Academy,Telecom Data Lines,149
Boston International Newcomers Academy,Office Postage,499.8
Boston International Newcomers Academy,EducSup Instructional Textbook,35627.39
Boston International Newcomers Academy,Equipment Computer/Desktop,368441.05
Boston International Newcomers Academy,Cont Serv Other,328247.73
Boston International Newcomers Academy,EducSup Instructional Other,144430.92
"Mozart, Wolfgang A. Elementary School",TransTrvl Field Trip,2630.35
"Mozart, Wolfgang A. Elementary School",ContServ Dependent Contrctr,20859.38
"Mozart, Wolfgang A. Elementary School",Food  Catering,3617.51
"Mozart, Wolfgang A. Elementary School",Equipment Computer/Desktop,33942.11
"Mozart, Wolfgang A. Elementary School",Cont Serv Other,145705.3
"Mozart, Wolfgang A. Elementary School",EducSup Instructional Other,73903.62
Baldwin Early Learning Pilot Academy,Cont Serv Other,2590401.92
Baldwin Early Learning Pilot Academy,Equipment Computer/Desktop,1085
"Bradley, Manassah E. Elementary School",Equipment Computer Other,343378.91
"Bradley, Manassah E. Elementary School",Current Space/Facility Rental,17000
"Bradley, Manassah E. Elementary School",Equipment Photocopy,11886.5
"Bradley, Manassah E. Elementary School",Telecom Data Lines,199
"Bradley, Manassah E. Elementary School",ContServ Dependent Contrctr,27760
"Bradley, Manassah E. Elementary School",EducSup Instructional Textbook,191631.93
"Bradley, Manassah E. Elementary School",Equipment Instructional,21318.01
"Bradley, Manassah E. Elementary School",Food  Catering,2584.31
"Bradley, Manassah E. Elementary School",Equipment Computer/Desktop,6630
"Bradley, Manassah E. Elementary School",Cont Serv Other,40325
"Bradley, Manassah E. Elementary School",EducSup Instructional Other,497958.92
Urban Science Academy,MiscSup Other,11159.37
Urban Science Academy,TransTrvl Field Trip,24027.5
Urban Science Academy,Equipment Computer Other,11999.77
Urban Science Academy,Telecom Data Lines,149
Urban Science Academy,ContServ Dependent Contrctr,11190
Urban Science Academy,EducSup Audio Visual/Library,4962
Urban Science Academy,EducSup Instructional Textbook,1786.08
Urban Science Academy,Equipment Instructional,5454.72
Urban Science Academy,Food  Catering,1448.3
Urban Science Academy,Equipment Computer/Desktop,11515.16
Urban Science Academy,Cont Serv Other,87470.12
Urban Science Academy,EducSup Instructional Other,181793.02
"Trotter, William Monroe K-8",MiscSup Other,492
"Trotter, William Monroe K-8",TransTrvl Field Trip,37947.63
"Trotter, William Monroe K-8",Equipment Computer Other,395
"Trotter, William Monroe K-8",ContServ Dependent Contrctr,275800
"Trotter, William Monroe K-8",EducSup Instructional Textbook,7737.09
"Trotter, William Monroe K-8",Food  Catering,2675.99
"Trotter, William Monroe K-8",Equipment Computer/Desktop,43283.76
"Trotter, William Monroe K-8",Cont Serv Other,707686.81
